read_94 status=OK qual=AB diff=<10, -1>  | 7864979 7865993 | pad: None, 10 | 
read_95 status=OK qual=C diff=<13, -13>  | 15425365 15426383 | pad: None, None | 
read_96 status=OK qual=AB diff=<0, -11>  | 3768413 3769420 | pad: 11, None | 
read_97 status=OK qual=AA diff=<0, -1>  | 18739298 18740307 | pad: 11, 10 | 
read_98 status=OK qual=AA diff=<0, -1>  | 15447729 15448724 | pad: 10, 10 | 
read_99 status=OK qual=AA diff=<0, -1>  | 8479968 8480971 | pad: 11, 6 | 
read_100 status=OK qual=AB diff=<0, -12>  | 17907536 17908550 | pad: 11, None | 
read_101 status=OK qual=AA diff=<0, -1>  | 184999 186002 | pad: 11, 10 | 
read_102 status=OK qual=AA diff=<0, -1>  | 11407324 11408323 | pad: 11, 10 | 
read_103 status=OK qual=AB diff=<10, -1>  | 19297607 19298626 | pad: None, 10 | 
read_104 status=OK qual=AA diff=<0, -1>  | 8388768 8389761 | pad: 12, 10 | 
read_105 status=OK qual=AA diff=<0, -1>  | 1813130 1814128 | pad: 12, 10 | 
read_106 status=OK qual=AB diff=<0, -14>  | 15227209 15228223 | pad: 11, None | 
read_107 status=OK qual=AB diff=<-3, -12>  | 11647357 11648366 | pad: 11, None | 
read_108 status=OK qual=AA diff=<0, -1>  | 10662774 10663776 | pad: 11, 10 | 
read_109 status=OK qual=C diff=<11, -13>  | 17194607 17195633 | pad: None, None | 
read_110 status=OK qual=AB diff=<12, -2>  | 15104048 15105060 | pad: None, 9 | 
read_111 status=OK qual=AA diff=<0, -1>  | 13405945 13406944 | pad: 12, 10 | 
read_112 status=OK qual=AB diff=<11, -1>  | 3877114 3878128 | pad: None, 10 | 
read_113 status=OK qual=AA diff=<0, 0>  | 5441175 5442180 | pad: 11, 11 | 
read_114 status=OK qual=AB diff=<0, -10>  | 15642388 15643398 | pad: 11, None | 
read_115 status=OK qual=AB diff=<0, -11>  | 9679125 9680132 | pad: 11, None | 
read_116 status=OK qual=AB diff=<0, -10>  | 17084734 17085745 | pad: 11, None | 
read_117 status=OK qual=AA diff=<0, 1>  | 14792837 14793842 | pad: 11, 10 | 
read_118 status=OK qual=AA diff=<0, 0>  | 18008835 18009836 | pad: 11, 10 | 
read_119 status=OK qual=AB diff=<0, -11>  | 12153645 12154653 | pad: 11, None | 
read_120 status=OK qual=AA diff=<0, -2>  | 18865708 18866710 | pad: 11, 9 | 
read_121 status=OK qual=AA diff=<0, -1>  | 15730794 15731795 | pad: 11, 10 | 
read_122 status=OK qual=AA diff=<0, -1>  | 12340512 12341509 | pad: 12, 10 | 
read_123 status=OK qual=AA diff=<0, -1>  | 4083852 4084853 | pad: 11, 10 | 
read_124 status=OK qual=AA diff=<0, -1>  | 6761999 6763002 | pad: 11, 10 | 
read_125 status=OK qual=AA diff=<0, -1>  | 15043247 15044252 | pad: 11, 10 | 
read_126 status=OK qual=AB diff=<11, -1>  | 11838117 11839120 | pad: None, 10 | 
read_127 status=OK qual=AA diff=<0, -1>  | 18189951 18190944 | pad: 11, 10 | 
read_128 status=OK qual=AB diff=<11, -1>  | 12494646 12495666 | pad: None, 10 | 
read_129 status=OK qual=AB diff=<0, -11>  | 19033330 19034339 | pad: 11, None | 
read_130 status=OK qual=C diff=<11, -11>  | 3587537 3588567 | pad: None, None | 
read_131 status=OK qual=AA diff=<0, -1>  | 11531486 11532486 | pad: 11, 10 | 
read_132 status=OK qual=AA diff=<0, -1>  | 6933962 6934962 | pad: 11, 10 | 
read_133 status=OK qual=AB diff=<0, -11>  | 16651599 16652612 | pad: 11, None | 
read_134 status=OK qual=AA diff=<0, -1>  | 16117463 16118460 | pad: 11, 10 | 
read_135 status=OK qual=AB diff=<0, -11>  | 14927781 14928799 | pad: 11, None | 
read_136 status=OK qual=AB diff=<0, -11>  | 15067903 15068908 | pad: 11, None | 
read_137 status=OK qual=AA diff=<0, -1>  | 2805495 2806496 | pad: 11, 10 | 
read_138 status=OK qual=AA diff=<0, -1>  | 18089864 18090871 | pad: 11, 10 | 
read_139 status=OK qual=AB diff=<12, -1>  | 17633873 17634892 | pad: None, 10 | 
read_140 status=OK qual=AA diff=<0, -1>  | 12079183 12080182 | pad: 11, 10 | 
read_141 status=OK qual=AB diff=<0, -10>  | 755837 756855 | pad: 11, None | 
read_142 status=OK qual=AA diff=<0, 0>  | 16736347 16737351 | pad: 11, 11 | 
read_143 status=OK qual=AA diff=<0, 0>  | 14072752 14073746 | pad: 12, 10 | 
