read_620 status=OK qual=AA diff=<0, -1>  | 7674585 7675586 | pad: 11, 10 | 
read_621 status=OK qual=AA diff=<0, -2>  | 19793830 19794826 | pad: 11, 9 | 
read_622 status=OK qual=AB diff=<0, -12>  | 7164899 7165912 | pad: 11, None | 
read_623 status=OK qual=AA diff=<0, 0>  | 14761422 14762430 | pad: 11, 11 | 
read_624 status=OK qual=AB diff=<0, -11>  | 16331900 16332907 | pad: 11, None | 
read_625 status=OK qual=AA diff=<0, -1>  | 15218767 15219764 | pad: 11, 10 | 
read_626 status=OK qual=AA diff=<0, -1>  | 16022103 16023104 | pad: 11, 10 | 
read_627 status=OK qual=AA diff=<9, 0>  | 996151 997162 | pad: None, 11 | 
read_628 status=OK qual=AA diff=<8, -1>  | 10102123 10103134 | pad: None, 10 | 
read_629 status=OK qual=AB diff=<11, -1>  | 16185148 16186160 | pad: None, 10 | 
read_630 status=OK qual=AA diff=<0, -1>  | 2615473 2616473 | pad: 11, 10 | 
read_631 status=OK qual=AA diff=<0, -9>  | 5521482 5522499 | pad: 11, None | 
read_632 status=OK qual=AB diff=<0, -11>  | 7851394 7852405 | pad: 11, None | 
read_633 status=OK qual=AA diff=<0, -1>  | 13284893 13285892 | pad: 11, 10 | 
read_634 status=OK qual=AB diff=<10, -1>  | 11862394 11863401 | pad: None, 10 | 
read_635 status=OK qual=AA diff=<0, -1>  | 4048180 4049179 | pad: 11, 10 | 
read_636 status=OK qual=AB diff=<11, -1>  | 770121 771134 | pad: None, 10 | 
read_637 status=OK qual=AA diff=<0, 0>  | 17873285 17874287 | pad: 11, 10 | 
read_638 status=OK qual=AA diff=<0, -1>  | 17978898 17979901 | pad: 11, 10 | 
read_639 status=OK qual=AA diff=<0, -1>  | 19458727 19459729 | pad: 11, 10 | 
read_640 status=OK qual=AA diff=<0, -1>  | 19196483 19197492 | pad: 11, 10 | 
read_641 status=OK qual=AB diff=<11, -1>  | 6117536 6118542 | pad: None, 10 | 
read_642 status=OK qual=AB diff=<10, 0>  | 10728578 10729588 | pad: None, 11 | 
read_643 status=OK qual=AA diff=<0, -1>  | 17062583 17063594 | pad: 11, 10 | 
read_644 status=OK qual=AA diff=<0, -1>  | 13305279 13306276 | pad: 11, 10 | 
read_645 status=OK qual=AB diff=<0, -11>  | 5910306 5911317 | pad: 11, None | 
read_646 status=OK qual=AA diff=<0, -1>  | 10575294 10576302 | pad: 11, 10 | 
read_647 status=OK qual=AA diff=<0, -1>  | 17072243 17073236 | pad: 11, 10 | 
read_648 status=OK qual=AA diff=<0, -1>  | 17360117 17361118 | pad: 11, 10 | 
read_649 status=OK qual=AA diff=<0, -1>  | 17338552 17339551 | pad: 11, 10 | 
read_650 status=OK qual=AB diff=<0, -11>  | 9865278 9866287 | pad: 11, None | 
read_651 status=OK qual=C diff=<11, -10>  | 7693486 7694511 | pad: None, None | 
read_652 status=OK qual=AB diff=<11, 0>  | 5133580 5134593 | pad: None, 11 | 
read_653 status=OK qual=AA diff=<0, -1>  | 16749303 16750310 | pad: 11, 10 | 
read_654 status=OK qual=AB diff=<0, -10>  | 3053826 3054829 | pad: 11, None | 
read_655 status=OK qual=AA diff=<0, -1>  | 2092327 2093321 | pad: 11, 10 | 
read_656 status=OK qual=AA diff=<0, -1>  | 814559 815567 | pad: 11, 10 | 
read_657 status=OK qual=AA diff=<0, -1>  | 4559717 4560722 | pad: 11, 10 | 
read_658 status=OK qual=AA diff=<0, -2>  | 663765 664758 | pad: 11, 9 | 
read_659 status=OK qual=AB diff=<14, -1>  | 1802075 1803085 | pad: None, 10 | 
read_660 status=OK qual=AB diff=<12, -1>  | 7112498 7113510 | pad: None, 10 | 
read_661 status=OK qual=AA diff=<0, -1>  | 12002593 12003600 | pad: 11, 10 | 
read_662 status=OK qual=AA diff=<0, -1>  | 6785920 6786927 | pad: 11, 10 | 
read_663 status=OK qual=AA diff=<0, -9>  | 2592514 2593523 | pad: 11, None | 
read_664 status=OK qual=AA diff=<-1, -1>  | 5193553 5194548 | pad: 11, 10 | 
read_665 status=OK qual=AB diff=<0, -11>  | 14986390 14987393 | pad: 11, None | 
read_666 status=OK qual=AA diff=<0, -1>  | 7748686 7749689 | pad: 11, 10 | 
read_667 status=OK qual=AA diff=<0, -1>  | 5583635 5584635 | pad: 11, 10 | 
read_668 status=OK qual=AA diff=<0, 0>  | 6340179 6341178 | pad: 11, 11 | 
read_669 status=OK qual=AA diff=<0, -1>  | 3468369 3469373 | pad: 11, 10 | 
read_670 status=OK qual=AA diff=<0, 2>  | 19535022 19536030 | pad: 11, 13 | 
read_671 status=OK qual=AB diff=<0, -11>  | 13854717 13855725 | pad: 11, None | 
read_672 status=OK qual=AB diff=<0, -11>  | 8207226 8208239 | pad: 11, None | 
read_673 status=OK qual=AB diff=<0, -11>  | 5940127 5941137 | pad: 11, None | 
read_674 status=OK qual=AA diff=<0, -2>  | 19861534 19862532 | pad: 11, 10 | 
read_675 status=OK qual=AB diff=<10, -1>  | 11557182 11558196 | pad: None, 10 | 
read_676 status=OK qual=AA diff=<0, -3>  | 11274294 11275291 | pad: 11, 8 | 
read_677 status=OK qual=AB diff=<12, -1>  | 10493603 10494618 | pad: None, 10 | 
read_678 status=OK qual=C diff=<9, -12>  | 3790436 3791457 | pad: None, None | 
read_679 status=OK qual=AA diff=<0, -1>  | 12644514 12645519 | pad: 11, 10 | 
read_680 status=OK qual=AA diff=<0, -1>  | 16962738 16963745 | pad: 10, 10 | 
read_681 status=OK qual=AB diff=<0, -11>  | 16274749 16275759 | pad: 11, None | 
read_682 status=OK qual=AB diff=<11, -1>  | 17419380 17420392 | pad: None, 10 | 
read_683 status=OK qual=AA diff=<0, 0>  | 1818523 1819523 | pad: 11, 11 | 
read_684 status=OK qual=AA diff=<0, -1>  | 8399038 8400035 | pad: 11, 10 | 
read_685 status=OK qual=AA diff=<0, -1>  | 13996407 13997410 | pad: 11, 10 | 
read_686 status=OK qual=AA diff=<0, 1>  | 4931882 4932889 | pad: 11, 12 | 
read_687 status=OK qual=AA diff=<0, -2>  | 13079628 13080634 | pad: 11, 9 | 
read_688 status=OK qual=AA diff=<0, -2>  | 4069595 4070599 | pad: 11, 9 | 
read_689 status=OK qual=AB diff=<10, -1>  | 11318074 11319081 | pad: None, 10 | 
read_690 status=OK qual=AA diff=<0, -1>  | 5830540 5831541 | pad: 11, 10 | 
read_691 status=OK qual=AA diff=<0, -1>  | 16747715 16748712 | pad: 11, 10 | 
read_692 status=OK qual=AA diff=<0, -1>  | 4908767 4909771 | pad: 11, 10 | 
read_693 status=OK qual=AB diff=<10, -1>  | 8701985 8702998 | pad: None, 10 | 
read_694 status=OK qual=AA diff=<0, -1>  | 9197090 9198095 | pad: 11, 10 | 
read_695 status=OK qual=C diff=<10, -10>  | 5973617 5974638 | pad: None, None | 
read_696 status=OK qual=AA diff=<0, 0>  | 12014707 12015707 | pad: 11, 11 | 
read_697 status=OK qual=C diff=<11, -13>  | 9306827 9307844 | pad: None, None | 
read_698 status=OK qual=AB diff=<11, -2>  | 10090470 10091483 | pad: None, 9 | 
read_699 status=OK qual=C diff=<14, -8>  | 5754303 5755323 | pad: None, None | 
read_700 status=OK qual=AB diff=<0, -11>  | 11676798 11677803 | pad: 12, None | 
read_701 status=OK qual=AA diff=<0, -1>  | 9605231 9606239 | pad: 11, 10 | 
read_702 status=OK qual=AA diff=<0, -2>  | 11305512 11306514 | pad: 11, 9 | 
read_703 status=OK qual=AB diff=<0, -12>  | 49131 50141 | pad: 11, None | 
read_704 status=OK qual=AB diff=<12, -1>  | 10407812 10408825 | pad: None, 10 | 
read_705 status=OK qual=AB diff=<12, -1>  | 13137241 13138248 | pad: None, 10 | 
read_706 status=OK qual=AA diff=<0, -2>  | 13409546 13410545 | pad: 11, 10 | 
read_707 status=OK qual=AA diff=<0, -9>  | 4099237 4100254 | pad: 11, None | 
read_708 status=OK qual=AB diff=<11, 0>  | 16939659 16940666 | pad: None, 10 | 
read_709 status=OK qual=AB diff=<11, -1>  | 9572957 9573970 | pad: None, 10 | 
read_710 status=OK qual=AB diff=<0, -11>  | 14853693 14854712 | pad: 11, None | 
read_711 status=OK qual=AB diff=<11, -1>  | 3087050 3088056 | pad: None, 10 | 
read_712 status=OK qual=AA diff=<1, -1>  | 14015963 14016961 | pad: 11, 10 | 
read_713 status=OK qual=AA diff=<0, -1>  | 17612836 17613846 | pad: 11, 10 | 
read_714 status=OK qual=AB diff=<0, -13>  | 3096079 3097088 | pad: 11, None | 
read_715 status=OK qual=AA diff=<0, -1>  | 3666412 3667409 | pad: 11, 10 | 
read_716 status=OK qual=AA diff=<0, -8>  | 17454310 17455316 | pad: 11, None | 
read_717 status=OK qual=AB diff=<0, -13>  | 4607213 4608229 | pad: 11, None | 
read_718 status=OK qual=AB diff=<0, -11>  | 3113853 3114866 | pad: 11, None | 
read_719 status=OK qual=AA diff=<0, 0>  | 14269568 14270568 | pad: 11, 10 | 
read_720 status=OK qual=AA diff=<0, 0>  | 10484684 10485686 | pad: 11, 10 | 
read_721 status=OK qual=AA diff=<0, -1>  | 18054067 18055066 | pad: 11, 10 | 
read_722 status=OK qual=AA diff=<0, -1>  | 477688 478687 | pad: 12, 10 | 
read_723 status=OK qual=AA diff=<0, -1>  | 13832112 13833118 | pad: 11, 10 | 
read_724 status=OK qual=C diff=<11, -9>  | 19467081 19468103 | pad: None, None | 
read_725 status=OK qual=C diff=<11, -13>  | 14502446 14503470 | pad: None, None | 
read_726 status=OK qual=AA diff=<0, -1>  | 16099087 16100088 | pad: 11, 10 | 
read_727 status=OK qual=AA diff=<0, -1>  | 3538346 3539351 | pad: 11, 10 | 
read_728 status=OK qual=AB diff=<0, -11>  | 11481211 11482219 | pad: 11, None | 
read_729 status=OK qual=AA diff=<0, -1>  | 497060 498061 | pad: 11, 10 | 
read_730 status=OK qual=AB diff=<0, -11>  | 3517640 3518653 | pad: 11, None | 
read_731 status=OK qual=AA diff=<0, -1>  | 14504068 14505073 | pad: 7, 10 | 
read_732 status=OK qual=AA diff=<0, -1>  | 19767877 19768870 | pad: 12, 10 | 
read_733 status=OK qual=AA diff=<0, 0>  | 17222747 17223754 | pad: 10, 11 | 
read_734 status=OK qual=AA diff=<8, -1>  | 6359058 6360077 | pad: None, 10 | 
read_735 status=OK qual=AA diff=<0, -1>  | 12172363 12173365 | pad: 11, 10 | 
read_736 status=OK qual=AB diff=<0, -10>  | 9949864 9950875 | pad: 11, None | 
read_737 status=OK qual=AB diff=<0, -11>  | 890640 891655 | pad: 11, None | 
read_738 status=OK qual=AB diff=<12, -1>  | 13528768 13529784 | pad: None, 10 | 
read_739 status=OK qual=AA diff=<0, -1>  | 6429939 6430933 | pad: 11, 10 | 
read_740 status=OK qual=AA diff=<0, -1>  | 3800610 3801611 | pad: 11, 10 | 
read_741 status=OK qual=AA diff=<0, -1>  | 18502186 18503181 | pad: 11, 10 | 
read_742 status=OK qual=AA diff=<0, -1>  | 12274942 12275939 | pad: 11, 10 | 
read_743 status=OK qual=AA diff=<0, 0>  | 8861897 8862902 | pad: 10, 11 | 
read_744 status=OK qual=AA diff=<0, -1>  | 6022430 6023427 | pad: 11, 10 | 
read_745 status=OK qual=AA diff=<0, -3>  | 3266386 3267383 | pad: 11, 10 | 
read_746 status=OK qual=AB diff=<10, -1>  | 19648578 19649593 | pad: None, 10 | 
read_747 status=OK qual=AA diff=<0, -1>  | 1902037 1903037 | pad: 11, 10 | 
read_748 status=OK qual=C diff=<11, -9>  | 9589065 9590087 | pad: None, None | 
read_749 status=OK qual=AA diff=<0, -1>  | 8174032 8175025 | pad: 11, 10 | 
read_750 status=OK qual=AB diff=<10, -3>  | 1170769 1171780 | pad: None, 8 | 
read_751 status=OK qual=AA diff=<0, -1>  | 8869608 8870612 | pad: 11, 10 | 
read_752 status=OK qual=AB diff=<0, -11>  | 17745852 17746861 | pad: 11, None | 
read_753 status=OK qual=AA diff=<0, -1>  | 13382864 13383872 | pad: 11, 10 | 
read_754 status=OK qual=AB diff=<11, 0>  | 6075103 6076112 | pad: None, 11 | 
read_755 status=OK qual=C diff=<11, -11>  | 9649456 9650475 | pad: None, None | 
read_756 status=OK qual=AA diff=<0, -1>  | 1272169 1273168 | pad: 11, 10 | 
read_757 status=OK qual=AB diff=<0, -12>  | 11268006 11269024 | pad: 11, None | 
read_758 status=OK qual=AB diff=<0, -13>  | 10978191 10979201 | pad: 11, None | 
read_759 status=OK qual=AB diff=<11, -1>  | 12619274 12620288 | pad: None, 10 | 
read_760 status=OK qual=AA diff=<0, -1>  | 11269077 11270082 | pad: 11, 10 | 
read_761 status=OK qual=AB diff=<11, -1>  | 13621120 13622130 | pad: None, 10 | 
read_762 status=OK qual=AB diff=<11, -1>  | 12987326 12988340 | pad: None, 10 | 
read_763 status=OK qual=AA diff=<0, -2>  | 10840235 10841238 | pad: 10, 10 | 
read_764 status=OK qual=C diff=<11, -14>  | 8957933 8958962 | pad: None, None | 
read_765 status=OK qual=AA diff=<0, -1>  | 13583202 13584200 | pad: 11, 10 | 
read_766 status=OK qual=AA diff=<1, -1>  | 6731600 6732598 | pad: 11, 10 | 
read_767 status=OK qual=AA diff=<0, 0>  | 19416735 19417733 | pad: 11, 10 | 
read_768 status=OK qual=AA diff=<0, -1>  | 1288793 1289788 | pad: 11, 10 | 
read_769 status=OK qual=AA diff=<0, -1>  | 7988457 7989455 | pad: 11, 10 | 
read_770 status=OK qual=C diff=<11, -11>  | 2743730 2744754 | pad: None, None | 
read_771 status=OK qual=AB diff=<10, -1>  | 10301243 10302260 | pad: None, 10 | 
read_772 status=OK qual=AA diff=<0, -1>  | 11164618 11165617 | pad: 11, 10 | 
read_773 status=OK qual=AA diff=<0, -1>  | 3255747 3256744 | pad: 11, 10 | 
read_774 status=OK qual=AA diff=<0, -1>  | 3073915 3074918 | pad: 11, 10 | 
read_775 status=OK qual=AA diff=<0, -1>  | 16496956 16497947 | pad: 11, 10 | 
read_776 status=OK qual=AA diff=<-2, -2>  | 17240139 17241141 | pad: 11, 9 | 
read_777 status=OK qual=AA diff=<0, 0>  | 6100182 6101180 | pad: 11, 11 | 
read_778 status=OK qual=AB diff=<8, -6>  | 6145902 6146913 | pad: None, 10 | 
read_779 status=OK qual=AA diff=<0, -1>  | 12661707 12662704 | pad: 10, 10 | 
read_780 status=OK qual=AA diff=<0, 0>  | 4196873 4197879 | pad: 11, 10 | 
read_781 status=OK qual=AB diff=<10, -1>  | 13837220 13838228 | pad: None, 10 | 
read_782 status=OK qual=AA diff=<-1, -2>  | 18937470 18938473 | pad: 11, 9 | 
read_783 status=OK qual=AB diff=<0, -10>  | 1751826 1752838 | pad: 11, None | 
read_784 status=OK qual=AB diff=<12, -1>  | 14505752 14506761 | pad: None, 10 | 
read_785 status=OK qual=AB diff=<11, -1>  | 11862960 11863972 | pad: None, 10 | 
read_786 status=OK qual=AA diff=<0, -1>  | 6170124 6171130 | pad: 11, 10 | 
read_787 status=OK qual=AA diff=<-2, -1>  | 10618627 10619628 | pad: 11, 10 | 
read_788 status=OK qual=AB diff=<0, -11>  | 15443924 15444930 | pad: 11, None | 
read_789 status=OK qual=AB diff=<11, -3>  | 16296872 16297889 | pad: None, 10 | 
read_790 status=OK qual=AA diff=<0, 0>  | 18645462 18646463 | pad: 11, 11 | 
read_791 status=OK qual=AB diff=<14, -1>  | 13749215 13750224 | pad: None, 10 | 
read_792 status=OK qual=AB diff=<0, -11>  | 10688986 10690003 | pad: 11, None | 
read_793 status=OK qual=AA diff=<0, -1>  | 7678174 7679174 | pad: 11, 10 | 
read_794 status=OK qual=AA diff=<0, -1>  | 12475307 12476308 | pad: 11, 10 | 
read_795 status=OK qual=AA diff=<0, -1>  | 2404041 2405040 | pad: 11, 10 | 
read_796 status=OK qual=AB diff=<0, -13>  | 11071390 11072403 | pad: 11, None | 
read_797 status=OK qual=AB diff=<0, -11>  | 3998462 3999474 | pad: 11, None | 
read_798 status=OK qual=AA diff=<0, -1>  | 2554907 2555908 | pad: 12, 10 | 
read_799 status=OK qual=AA diff=<0, -1>  | 16420209 16421209 | pad: 11, 10 | 
read_800 status=OK qual=AA diff=<0, -1>  | 16685332 16686335 | pad: 11, 10 | 
read_801 status=OK qual=C diff=<11, -12>  | 11494025 11495046 | pad: None, None | 
read_802 status=OK qual=AA diff=<0, -1>  | 3021082 3022081 | pad: 11, 10 | 
read_803 status=OK qual=AA diff=<0, -1>  | 16932273 16933270 | pad: 11, 10 | 
read_804 status=OK qual=AA diff=<0, -1>  | 14994725 14995726 | pad: 11, 10 | 
read_805 status=OK qual=AA diff=<0, 0>  | 9423080 9424078 | pad: 11, 10 | 
read_806 status=OK qual=AB diff=<0, -10>  | 11516932 11517944 | pad: 8, None | 
read_807 status=OK qual=AA diff=<0, -1>  | 4098891 4099894 | pad: 11, 10 | 
read_808 status=OK qual=AA diff=<0, -1>  | 15769657 15770658 | pad: 11, 10 | 
read_809 status=OK qual=AB diff=<11, -1>  | 239390 240401 | pad: None, 10 | 
read_810 status=OK qual=AB diff=<10, -9>  | 13147798 13148823 | pad: None, None | 
read_811 status=OK qual=C diff=<11, -10>  | 3911703 3912720 | pad: None, None | 
read_812 status=OK qual=C diff=<11, -12>  | 1707180 1708197 | pad: None, None | 
read_813 status=OK qual=AB diff=<0, -10>  | 13781254 13782266 | pad: 11, None | 
read_814 status=OK qual=AA diff=<0, -1>  | 4322739 4323746 | pad: 11, 10 | 
read_815 status=OK qual=AB diff=<0, -14>  | 17703801 17704813 | pad: 11, None | 
read_816 status=OK qual=AB diff=<11, -1>  | 13832764 13833773 | pad: None, 10 | 
read_817 status=OK qual=AA diff=<0, -2>  | 4232917 4233925 | pad: 11, 10 | 
read_818 status=OK qual=AB diff=<0, -11>  | 5857215 5858226 | pad: 11, None | 
read_819 status=OK qual=AB diff=<0, -11>  | 7482435 7483445 | pad: 11, None | 
read_820 status=OK qual=AA diff=<0, 0>  | 8099224 8100221 | pad: 11, 11 | 
read_821 status=OK qual=AA diff=<0, -1>  | 14520363 14521360 | pad: 11, 10 | 
read_822 status=OK qual=AB diff=<11, -1>  | 16068404 16069418 | pad: None, 10 | 
read_823 status=OK qual=AA diff=<0, 0>  | 12981658 12982661 | pad: 12, 11 | 
read_824 status=OK qual=AA diff=<0, -1>  | 7377399 7378398 | pad: 11, 10 | 
read_825 status=OK qual=AB diff=<0, -11>  | 5426275 5427290 | pad: 11, None | 
read_826 status=OK qual=AA diff=<0, -1>  | 18414657 18415656 | pad: 11, 10 | 
read_827 status=OK qual=AA diff=<0, -1>  | 9807908 9808909 | pad: 11, 10 | 
read_828 status=OK qual=AA diff=<0, 0>  | 12578325 12579326 | pad: 11, 10 | 
read_829 status=OK qual=C diff=<12, -11>  | 2993540 2994565 | pad: None, None | 
read_830 status=OK qual=AA diff=<0, -1>  | 4168863 4169864 | pad: 11, 10 | 
read_831 status=OK qual=AA diff=<0, -1>  | 8986105 8987102 | pad: 11, 10 | 
read_832 status=OK qual=AB diff=<0, -11>  | 5810543 5811555 | pad: 11, None | 
read_833 status=OK qual=AA diff=<0, -2>  | 10158574 10159574 | pad: 11, 10 | 
read_834 status=OK qual=AB diff=<0, -11>  | 2240151 2241167 | pad: 11, None | 
read_835 status=OK qual=AB diff=<10, -1>  | 2173067 2174074 | pad: None, 10 | 
read_836 status=OK qual=AB diff=<14, -1>  | 12548296 12549309 | pad: None, 10 | 
read_837 status=OK qual=AB diff=<10, -1>  | 1191641 1192654 | pad: None, 9 | 
read_838 status=OK qual=AA diff=<0, -1>  | 14157004 14158010 | pad: 11, 10 | 
read_839 status=OK qual=AA diff=<0, -1>  | 11062640 11063639 | pad: 11, 10 | 
read_840 status=OK qual=C diff=<10, -11>  | 12784483 12785507 | pad: None, None | 
read_841 status=OK qual=C diff=<11, -11>  | 9036263 9037289 | pad: None, None | 
read_842 status=OK qual=AA diff=<1, 0>  | 12299236 12300241 | pad: 11, 10 | 
read_843 status=OK qual=AB diff=<-1, -14>  | 11164321 11165330 | pad: 11, None | 
read_844 status=OK qual=AA diff=<0, -1>  | 948842 949839 | pad: 11, 10 | 
read_845 status=OK qual=AA diff=<0, -2>  | 8835614 8836609 | pad: 12, 10 | 
read_846 status=OK qual=AB diff=<0, -11>  | 17981783 17982796 | pad: 11, None | 
read_847 status=OK qual=C diff=<10, -11>  | 9555965 9556986 | pad: None, None | 
read_848 status=OK qual=C diff=<12, -11>  | 15721612 15722633 | pad: None, None | 
read_849 status=OK qual=AA diff=<0, -1>  | 3091550 3092549 | pad: 11, 10 | 
read_850 status=OK qual=AB diff=<11, -1>  | 12618092 12619108 | pad: None, 10 | 
read_851 status=OK qual=AB diff=<10, -1>  | 17893683 17894696 | pad: None, 10 | 
read_852 status=OK qual=AA diff=<0, -1>  | 17580844 17581855 | pad: 11, 10 | 
read_853 status=OK qual=AB diff=<11, -2>  | 13798694 13799707 | pad: None, 10 | 
read_854 status=OK qual=AA diff=<0, -4>  | 2548366 2549372 | pad: 11, 7 | 
read_855 status=OK qual=AA diff=<0, 1>  | 11339763 11340766 | pad: 11, 10 | 
read_856 status=OK qual=AA diff=<0, -1>  | 18599276 18600273 | pad: 11, 10 | 
read_857 status=OK qual=AA diff=<0, -1>  | 5849982 5850981 | pad: 10, 10 | 
read_858 status=OK qual=C diff=<10, -11>  | 19551104 19552125 | pad: None, None | 
read_859 status=OK qual=AA diff=<-4, 0>  | 17854907 17855911 | pad: 11, 11 | 
read_860 status=OK qual=AB diff=<0, -10>  | 18036468 18037484 | pad: 10, None | 
read_861 status=OK qual=AB diff=<9, -1>  | 12915403 12916413 | pad: None, 10 | 
read_862 status=OK qual=AB diff=<0, -12>  | 14977768 14978778 | pad: 11, None | 
read_863 status=OK qual=AB diff=<0, -11>  | 13496081 13497098 | pad: 11, None | 
read_864 status=OK qual=AB diff=<0, -12>  | 14605823 14606828 | pad: 11, None | 
read_865 status=OK qual=AA diff=<0, -1>  | 3820974 3821970 | pad: 11, 10 | 
read_866 status=OK qual=C diff=<11, -11>  | 3373322 3374342 | pad: None, None | 
read_867 status=OK qual=AA diff=<0, 0>  | 4126778 4127784 | pad: 11, 11 | 
read_868 status=OK qual=AA diff=<0, -1>  | 10889875 10890866 | pad: 11, 10 | 
read_869 status=OK qual=AA diff=<0, -2>  | 11827664 11828658 | pad: 11, 10 | 
read_870 status=OK qual=AB diff=<0, -10>  | 9101395 9102401 | pad: 11, None | 
read_871 status=OK qual=AB diff=<11, 0>  | 11675305 11676312 | pad: None, 11 | 
read_872 status=OK qual=AA diff=<0, -1>  | 19450381 19451382 | pad: 11, 10 | 
read_873 status=OK qual=AB diff=<0, -11>  | 10629419 10630424 | pad: 11, None | 
read_874 status=OK qual=AA diff=<0, -1>  | 13566372 13567370 | pad: 11, 10 | 
read_875 status=OK qual=AA diff=<0, -1>  | 2025001 2025996 | pad: 11, 10 | 
read_876 status=OK qual=AB diff=<0, -11>  | 1024021 1025030 | pad: 11, None | 
read_877 status=OK qual=AB diff=<0, -11>  | 12124190 12125199 | pad: 11, None | 
read_878 status=OK qual=AA diff=<0, -1>  | 8906285 8907286 | pad: 11, 10 | 
read_879 status=OK qual=AA diff=<0, -1>  | 8606482 8607481 | pad: 11, 10 | 
read_880 status=OK qual=AB diff=<9, -1>  | 15835667 15836673 | pad: None, 10 | 
read_881 status=OK qual=AB diff=<0, -11>  | 2951389 2952406 | pad: 11, None | 
read_882 status=OK qual=AA diff=<0, -1>  | 10841689 10842688 | pad: 11, 10 | 
read_883 status=OK qual=AB diff=<9, -1>  | 7255915 7256925 | pad: None, 10 | 
read_884 status=OK qual=AA diff=<0, -1>  | 4816892 4817889 | pad: 11, 10 | 
read_885 status=OK qual=AA diff=<0, -1>  | 4246766 4247769 | pad: 11, 10 | 
read_886 status=OK qual=AA diff=<0, -1>  | 19470882 19471883 | pad: 11, 10 | 
read_887 status=OK qual=AA diff=<0, -1>  | 15115062 15116063 | pad: 11, 10 | 
read_888 status=OK qual=AA diff=<0, -1>  | 3965841 3966846 | pad: 11, 9 | 
read_889 status=OK qual=AA diff=<0, -1>  | 7159897 7160906 | pad: 10, 10 | 
read_890 status=OK qual=C diff=<12, -11>  | 11096259 11097282 | pad: None, None | 
read_891 status=OK qual=AA diff=<0, -9>  | 13485484 13486495 | pad: 11, None | 
read_892 status=OK qual=AA diff=<0, -1>  | 10595921 10596922 | pad: 11, 10 | 
read_893 status=OK qual=AB diff=<13, -1>  | 3453937 3454949 | pad: None, 10 | 
read_894 status=OK qual=AA diff=<1, -1>  | 4761620 4762623 | pad: 11, 10 | 
read_895 status=OK qual=AA diff=<0, -1>  | 9892725 9893727 | pad: 11, 10 | 
read_896 status=OK qual=AA diff=<0, -1>  | 735713 736712 | pad: 11, 10 | 
read_897 status=OK qual=AA diff=<0, -1>  | 5729209 5730202 | pad: 11, 10 | 
read_898 status=OK qual=AA diff=<0, -1>  | 16744767 16745764 | pad: 11, 10 | 
read_899 status=OK qual=C diff=<11, -10>  | 5181740 5182761 | pad: None, None | 
read_900 status=OK qual=AA diff=<1, -1>  | 9717986 9718988 | pad: 11, 10 | 
read_901 status=OK qual=AA diff=<0, -1>  | 15726477 15727478 | pad: 11, 10 | 
read_902 status=OK qual=AA diff=<0, -1>  | 607504 608505 | pad: 9, 10 | 
read_903 status=OK qual=AB diff=<0, -13>  | 2777735 2778748 | pad: 11, None | 
read_904 status=OK qual=AA diff=<0, -1>  | 4541170 4542169 | pad: 11, 10 | 
read_905 status=OK qual=AA diff=<0, -1>  | 7604929 7605921 | pad: 11, 10 | 
read_906 status=OK qual=AA diff=<0, -1>  | 4953520 4954525 | pad: 10, 10 | 
read_907 status=OK qual=AB diff=<10, -1>  | 5252500 5253515 | pad: None, 10 | 
read_908 status=OK qual=AA diff=<0, -1>  | 19744311 19745306 | pad: 11, 10 | 
read_909 status=OK qual=AB diff=<0, -10>  | 16401690 16402703 | pad: 11, None | 
read_910 status=OK qual=AA diff=<0, -1>  | 3833465 3834470 | pad: 11, 10 | 
read_911 status=OK qual=AA diff=<0, -1>  | 1763950 1764957 | pad: 11, 10 | 
read_912 status=OK qual=AB diff=<0, -13>  | 5690614 5691625 | pad: 11, None | 
read_913 status=OK qual=AB diff=<0, -11>  | 15579029 15580040 | pad: 11, None | 
read_914 status=OK qual=AA diff=<0, 0>  | 2498028 2499026 | pad: 11, 11 | 
read_915 status=OK qual=AA diff=<0, -1>  | 6090005 6091004 | pad: 11, 10 | 
read_916 status=OK qual=AB diff=<11, -1>  | 1680635 1681643 | pad: None, 10 | 
read_917 status=OK qual=C diff=<14, -12>  | 4397329 4398353 | pad: None, None | 
read_918 status=OK qual=AA diff=<0, -1>  | 6688885 6689883 | pad: 11, 10 | 
read_919 status=OK qual=AB diff=<0, -11>  | 15878188 15879199 | pad: 11, None | 
read_920 status=OK qual=AB diff=<0, -10>  | 19647626 19648636 | pad: 11, None | 
read_921 status=OK qual=AA diff=<7, -1>  | 4771465 4772477 | pad: None, 10 | 
read_922 status=OK qual=AA diff=<0, -8>  | 17505365 17506381 | pad: 10, None | 
read_923 status=OK qual=AA diff=<1, -1>  | 17868201 17869203 | pad: 11, 10 | 
read_924 status=OK qual=AB diff=<10, -1>  | 16463319 16464324 | pad: None, 10 | 
read_925 status=OK qual=AB diff=<0, -11>  | 18838140 18839151 | pad: 11, None | 
read_926 status=OK qual=AB diff=<11, -1>  | 4166206 4167222 | pad: None, 10 | 
read_927 status=OK qual=AB diff=<0, -11>  | 10561641 10562656 | pad: 11, None | 
read_928 status=OK qual=AB diff=<0, -13>  | 8388221 8389238 | pad: 11, None | 
read_929 status=OK qual=AA diff=<0, -1>  | 8359925 8360928 | pad: 11, 10 | 
