read_104 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_105 | status=OK | qual=AA | max_diff=3 sum_diff=5 | diff=<-3, -2>
read_106 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_107 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_108 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_109 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_110 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_111 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_112 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<2, -2>
read_113 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<-3, 0>
read_114 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_115 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_116 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_117 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<2, -2>
read_118 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_119 | status=OK | qual=AA | max_diff=6 sum_diff=6 | diff=<-6, 0>
read_120 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_121 | status=OK | qual=AA | max_diff=6 sum_diff=8 | diff=<-6, -2>
read_122 | status=OK | qual=AB | max_diff=10 sum_diff=13 | diff=<-10, 3>
read_123 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_124 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_125 | status=OK | qual=AB | max_diff=13 sum_diff=15 | diff=<-13, -2>
read_126 | status=OK | qual=AA | max_diff=5 sum_diff=5 | diff=<0, -5>
read_127 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_128 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_129 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_130 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_131 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_132 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_133 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_134 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_135 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_136 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_137 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_138 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_139 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_140 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<-2, 0>
read_141 | status=OK | qual=AA | max_diff=3 sum_diff=6 | diff=<3, -3>
read_142 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_143 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_144 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_145 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_146 | status=OK | qual=AA | max_diff=3 sum_diff=5 | diff=<3, 2>
read_147 | status=OK | qual=AA | max_diff=7 sum_diff=9 | diff=<-7, -2>
read_148 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_149 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<-1, 1>
read_150 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_151 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_152 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_153 | status=OK | qual=AA | max_diff=5 sum_diff=5 | diff=<0, 5>
read_154 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_155 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_156 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_157 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_158 | status=OK | qual=AA | max_diff=6 sum_diff=7 | diff=<-1, 6>
read_159 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_160 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<2, -2>
read_161 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_162 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<4, 0>
read_163 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_164 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_165 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_166 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<-1, -1>
read_167 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_168 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_169 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_170 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_171 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_172 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_173 | status=OK | qual=AB | max_diff=14 sum_diff=16 | diff=<-14, -2>
read_174 | status=OK | qual=AA | max_diff=5 sum_diff=7 | diff=<5, -2>
read_175 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_176 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-2, -1>
read_177 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, 3>
read_178 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<3, 0>
read_179 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<-3, 0>
read_180 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_181 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_182 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, 4>
read_183 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
